x p rho alpha1 U rho1 rho2
1.332500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.337500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.342500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.347500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.352500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.357500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.362500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.367500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.372500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.377500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.382500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.387500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.392500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.397500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.402500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.407500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.412500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.417500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.422500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.427500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.432500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.437500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.442500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.447500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.452500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.457500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.462500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.467500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.472500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.477500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.482500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.487500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.492500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.497500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.502500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.507500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.512500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.517500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.522500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.527500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.532500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.537500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.542500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.547500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.552500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.557500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.562500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.567500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.572500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.577500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.582500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.587500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.592500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.597500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.602500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.607500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.612500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.617500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.622500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.627500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.632500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.637500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.642500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.647500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.652500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.657500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.662500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.667500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.672500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.677500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.682500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.687500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.692500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.697500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.702500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.707500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.712500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.717500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.722500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.727500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.732500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.737500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.742500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.747500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.752500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.757500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.762500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.767500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.772500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.777500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.782500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.787500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.792500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.797500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.802500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.807500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.812500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.817500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.822500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.827500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.832500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.837500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.842500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.847500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.852500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.857500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.862500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.867500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.872500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.877500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.882500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.887500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.892500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.897500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.902500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.907500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.912500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.917500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.922500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
